design,inquiry,estimator,outcome,term,clusters_treat,effect,diagnosand,estimate,std.error,conf.low,conf.high
design_2,ATE,PSM ATE,Y,Z,40,0.1,rmse,0.10766988542657265,0.0073795335409743545,0.09450977969467972,0.12107853504617025
design_2,ATE,PSM ATE,Y,Z,40,0.1,power,0.56,0.049070553205758656,0.48475,0.66
design_2,ATE,PSM ATE,Y,Z,40,0.1,coverage,0.61,0.04923700669499344,0.49950000000000006,0.6952499999999999
design_3,ATE,LM,Y,Z,60,0.1,mean_estimand,0.05548275862068965,0.0012742920103154453,0.05320689655172414,0.05772586206896552
design_3,ATE,LM,Y,Z,60,0.1,mean_estimate,0.06648666666666642,0.009526216924067982,0.048003333333333106,0.08596816666666637
design_3,ATE,LM,Y,Z,60,0.1,bias,0.011003908045976766,0.009475725935949718,-0.0063540459770116756,0.029996028735631883
design_3,ATE,LM,Y,Z,60,0.1,sd_estimate,0.09967110245413136,0.007357148267932657,0.08593687927724736,0.11343746163939605
design_3,ATE,LM,Y,Z,60,0.1,rmse,0.09825667726973165,0.006870766627185066,0.08611115056391738,0.11119381730404478
design_3,ATE,LM,Y,Z,60,0.1,power,0.52,0.05190317325500816,0.41425000000000006,0.6252499999999999
design_3,ATE,LM,Y,Z,60,0.1,coverage,0.57,0.05346423330063045,0.46475,0.65
design_3,ATE,PSM ATE,Y,Z,60,0.1,mean_estimand,0.05548275862068965,0.0012742920103154453,0.05320689655172414,0.05772586206896552
design_3,ATE,PSM ATE,Y,Z,60,0.1,mean_estimate,0.05864000000000038,0.009770143733341218,0.04001066666666696,0.07755833333333377
design_3,ATE,PSM ATE,Y,Z,60,0.1,bias,0.0031572413793107225,0.009739473659195716,-0.015372057471264047,0.02088160919540273
design_3,ATE,PSM ATE,Y,Z,60,0.1,sd_estimate,0.10357245797811052,0.006665915840902572,0.09096892781945257,0.11431202359704626
design_3,ATE,PSM ATE,Y,Z,60,0.1,rmse,0.10189211592214667,0.006324323058955088,0.0907443778704026,0.11326497705387675
design_3,ATE,PSM ATE,Y,Z,60,0.1,power,0.53,0.051213457038342784,0.45,0.6252499999999999
design_3,ATE,PSM ATE,Y,Z,60,0.1,coverage,0.61,0.041609536591429803,0.52475,0.6852499999999999
design_4,ATE,LM,Y,Z,20,0.2,mean_estimand,0.11124137931034483,0.0016558750903086605,0.1081,0.11400172413793103
design_4,ATE,LM,Y,Z,20,0.2,mean_estimate,0.1215266666666662,0.008872198270462183,0.10464533333333287,0.13801816666666605
design_4,ATE,LM,Y,Z,20,0.2,bias,0.010285287356321372,0.00896136885829684,-0.006666442528736058,0.025535810344827024
design_4,ATE,LM,Y,Z,20,0.2,sd_estimate,0.08666709634703082,0.00459248862927974,0.07653314904191072,0.09359801558316266
design_4,ATE,LM,Y,Z,20,0.2,rmse,0.08526500996092014,0.004428089823521151,0.07441789749148818,0.09140287783116208
design_4,ATE,LM,Y,Z,20,0.2,power,0.69,0.04417778590736261,0.5995,0.75
design_4,ATE,LM,Y,Z,20,0.2,coverage,0.62,0.05023932621950557,0.54,0.71
design_4,ATE,PSM ATE,Y,Z,20,0.2,mean_estimand,0.11124137931034483,0.0016558750903086605,0.1081,0.11400172413793103
design_4,ATE,PSM ATE,Y,Z,20,0.2,mean_estimate,0.11414666666666703,0.009433575070132035,0.09699566666666695,0.13408333333333378
design_4,ATE,PSM ATE,Y,Z,20,0.2,bias,0.0029052873563222108,0.009483761443369208,-0.013358643678160639,0.022559149425287847
design_4,ATE,PSM ATE,Y,Z,20,0.2,sd_estimate,0.09065099785383941,0.005201540525641575,0.07884125922914886,0.09820962449606685
design_4,ATE,PSM ATE,Y,Z,20,0.2,rmse,0.08828532336749619,0.0048859293892958445,0.07744948883524039,0.09561428555407689
design_4,ATE,PSM ATE,Y,Z,20,0.2,power,0.62,0.051173205583556806,0.53,0.71
design_4,ATE,PSM ATE,Y,Z,20,0.2,coverage,0.66,0.044745746369703326,0.59,0.75525
design_5,ATE,LM,Y,Z,40,0.2,mean_estimand,0.11058620689655173,0.0017672444461408602,0.10668620689655173,0.1133896551724138
design_5,ATE,LM,Y,Z,40,0.2,mean_estimate,0.11287333333333292,0.010799380607212528,0.091892833333333,0.13189049999999958
design_5,ATE,LM,Y,Z,40,0.2,bias,0.002287126436781193,0.011064094783576077,-0.01776837356321874,0.021951839080459248
design_5,ATE,LM,Y,Z,40,0.2,sd_estimate,0.10789339607142238,0.006519961420327216,0.09279887449890883,0.11916481752480904
design_5,ATE,LM,Y,Z,40,0.2,rmse,0.107722646488662,0.006540030942369979,0.092535630425226,0.12002533161177331
design_5,ATE,LM,Y,Z,40,0.2,power,0.69,0.049014943093557146,0.5737500000000001,0.76525
design_5,ATE,LM,Y,Z,40,0.2,coverage,0.53,0.051804898173314406,0.4290000000000001,0.6257499999999997
design_5,ATE,PSM ATE,Y,Z,40,0.2,mean_estimand,0.11058620689655173,0.0017672444461408602,0.10668620689655173,0.1133896551724138
design_5,ATE,PSM ATE,Y,Z,40,0.2,mean_estimate,0.11013333333333383,0.011213541336945127,0.08782200000000037,0.12923566666666728
design_5,ATE,PSM ATE,Y,Z,40,0.2,bias,-4.5287356321788895e-4,0.011328977577648544,-0.022769931034482375,0.018350770114943057
design_5,ATE,PSM ATE,Y,Z,40,0.2,sd_estimate,0.11380223853224333,0.006495982700204617,0.10063738574794696,0.12444825892824121
design_5,ATE,PSM ATE,Y,Z,40,0.2,rmse,0.11308981199920577,0.0067025905274638005,0.09888461492882838,0.12401176412655804
design_5,ATE,PSM ATE,Y,Z,40,0.2,power,0.66,0.04683044852540822,0.58,0.75525
design_5,ATE,PSM ATE,Y,Z,40,0.2,coverage,0.57,0.04794894169948915,0.48,0.6452499999999999
design_6,ATE,LM,Y,Z,60,0.2,mean_estimand,0.11231034482758621,0.0018222915754496237,0.1088948275862069,0.11674568965517242
