design,inquiry,estimator,outcome,term,rho,diagnosand,estimate,std.error,conf.low,conf.high
design_3,ATE,Matched PSM,Y,Z,0.5,mean_estimand,0.3,0,0.3,0.3
design_3,ATE,Matched PSM,Y,Z,0.5,mean_estimate,0.3766489807570462,0.002788215644251532,0.3718788542886723,0.3817212776544052
design_3,ATE,Matched PSM,Y,Z,0.5,bias,0.07664898075704622,0.002788215644251531,0.07187885428867233,0.08172127765440519
design_3,ATE,Matched PSM,Y,Z,0.5,sd_estimate,0.027937892049745262,0.0017822449461412184,0.02405370381642962,0.030674846124736622
design_3,ATE,Matched PSM,Y,Z,0.5,rmse,0.08153396105400147,0.0025473236413095907,0.076360451575054,0.08621912353460823
design_3,ATE,Matched PSM,Y,Z,0.5,power,1,0,1,1
design_3,ATE,Matched PSM,Y,Z,0.5,coverage,0.23,0.042547537288225384,0.16,0.3152499999999999
design_3,ATE,Not matched,Y,Z,0.5,mean_estimand,0.3,0,0.3,0.3
design_3,ATE,Not matched,Y,Z,0.5,mean_estimate,0.37314229749952105,0.0027731871125730484,0.36820155375965213,0.37846772346467805
design_3,ATE,Not matched,Y,Z,0.5,bias,0.07314229749952106,0.002773187112573047,0.0682015537596522,0.07846772346467806
design_3,ATE,Not matched,Y,Z,0.5,sd_estimate,0.025676183380163742,0.0018454238543566738,0.021202132680434284,0.028471740618288555
design_3,ATE,Not matched,Y,Z,0.5,rmse,0.07747560527385716,0.002664031386369172,0.07224512012007205,0.0823748293866845
design_3,ATE,Not matched,Y,Z,0.5,power,1,0,1,1
design_3,ATE,Not matched,Y,Z,0.5,coverage,0.24,0.04364734710255492,0.15475000000000003,0.32
design_4,ATE,Matched CEM,Y,Z,0.75,mean_estimand,0.3,0,0.3,0.3
design_4,ATE,Matched CEM,Y,Z,0.75,mean_estimate,0.31622891433663836,0.004392656779695132,0.30710642592651993,0.3238167856696934
design_4,ATE,Matched CEM,Y,Z,0.75,bias,0.016228914336638367,0.004392656779695133,0.007106425926519907,0.023816785669693388
design_4,ATE,Matched CEM,Y,Z,0.75,sd_estimate,0.04366196480164141,0.002835565989752533,0.037520825844473346,0.04902183814718543
design_4,ATE,Matched CEM,Y,Z,0.75,rmse,0.0463754370241653,0.0029372543914988882,0.040053891456461245,0.051631477827206874
design_4,ATE,Matched CEM,Y,Z,0.75,power,1,0,1,1
design_4,ATE,Matched CEM,Y,Z,0.75,coverage,0.97,0.018206447964244633,0.93,1
design_4,ATE,Matched PSM,Y,Z,0.75,mean_estimand,0.3,0,0.3,0.3
design_4,ATE,Matched PSM,Y,Z,0.75,mean_estimate,0.40259967218033565,0.0032087463947038375,0.3961206663536859,0.4094622866044532
design_4,ATE,Matched PSM,Y,Z,0.75,bias,0.10259967218033565,0.0032087463947038375,0.09612066635368592,0.10946228660445323
design_4,ATE,Matched PSM,Y,Z,0.75,sd_estimate,0.03062415361870306,0.0019488928500435933,0.027008197890711218,0.034036479678449326
design_4,ATE,Matched PSM,Y,Z,0.75,rmse,0.10702874907484271,0.0030205127195208946,0.10126772533190848,0.11342686707261268
design_4,ATE,Matched PSM,Y,Z,0.75,power,1,0,1,1
design_4,ATE,Matched PSM,Y,Z,0.75,coverage,0.09,0.0284045450908509,0.04,0.14524999999999993
design_4,ATE,Not matched,Y,Z,0.75,mean_estimand,0.3,0,0.3,0.3
design_4,ATE,Not matched,Y,Z,0.75,mean_estimate,0.40945144607788325,0.003359921744127696,0.4026628022690145,0.41585675779591624
design_4,ATE,Not matched,Y,Z,0.75,bias,0.10945144607788325,0.0033599217441276953,0.10266280226901454,0.11585675779591623
design_4,ATE,Not matched,Y,Z,0.75,sd_estimate,0.029286914970709062,0.0019217075180381297,0.025890353672807287,0.03304012792537805
design_4,ATE,Not matched,Y,Z,0.75,rmse,0.11326413908716347,0.0031281181034479868,0.10675641616555644,0.11904679281810127
design_4,ATE,Not matched,Y,Z,0.75,power,1,0,1,1
design_4,ATE,Not matched,Y,Z,0.75,coverage,0.07,0.02913985780904418,0.02,0.14
